,NPL91_EVER,gender_nameRu,LastApprovedOfferSet_Payment,CBFactPmtsParametrSet,AgeParametrSet,PoVClient_ClientCountWithoutOverduePay,CBMaxOverdueParametrSet,CBCreditHistoryFromServParametrSet,PKB_REQ_360DAY,SUM_OSTATOK,MAX_OUSTAND_DAY_CNT,CNT_DAY_GR_0_Sum,educationtypedmparse2,low_rod_income,KDN
27137,0,Женский,39512.8,105,61.58,60.0,0,Положительная,1.0,812251.17,0.0,0.0,ВЫСШЕЕ,43407.0,0.1827064404061999
27142,0,Мужской,96978.1,66,66.17,41.0,0,Положительная,2.0,2672372.05,0.0,0.0,,43407.0,0.4109690050598795
27166,0,Женский,39512.8,71,61.92,9.0,0,Положительная,3.0,839995.05,0.0,0.0,,43407.0,0.3643228590396105
27171,0,Женский,47802.1,142,68.83,19.0,0,Положительная,4.0,99990.0,0.0,0.0,ВЫСШЕЕ,,0.0724035763004926
27173,0,Женский,7915.0,5,67.75,,0,Приемлемая 2,7.0,87065.0,0.0,0.0,СРЕДНЕЕ СПЕЦИАЛЬНОЕ,43407.0,0.0742760083331769
27183,0,Женский,85435.5,93,63.75,140.0,0,Положительная,1.0,579455.58,0.0,0.0,ВЫСШЕЕ,43407.0,0.1532770801019664
27194,0,Женский,,52,68.0,71.0,2,Положительная,0.0,452710.0,4.0,3.0,ВЫСШЕЕ,43407.0,0.6135266698338601
27195,0,Мужской,,0,67.83,20.0,0,Приемлемая 1,,,,,ВЫСШЕЕ,43407.0,0.0
27206,0,Женский,5500.0,151,64.17,10.0,0,Положительная,3.0,844881.98,4.0,1.0,СРЕДНЕЕ СПЕЦИАЛЬНОЕ,43407.0,0.4522617459935722
27207,0,Мужской,,0,64.5,,0,Приемлемая 1,,,,,,43407.0,0.0
27214,0,Женский,,0,61.33,,0,Приемлемая 1,,,,,ВЫСШЕЕ,43407.0,0.0
27219,0,Мужской,85435.5,48,44.25,95.0,0,Положительная,2.0,2008590.35,0.0,0.0,СРЕДНЕЕ СПЕЦИАЛЬНОЕ,130221.0,0.9182020753796396
27220,0,Мужской,18768.9,86,68.33,52.0,0,Положительная,8.0,215052.19,6.0,1.0,,,0.6209887267982117
27222,0,Женский,39718.2,146,62.25,130.0,1,Положительная,2.0,960496.08,16.0,7.0,,43407.0,0.6425705358983712
27223,0,Мужской,,4,64.25,,0,Приемлемая 2,0.0,,0.0,0.0,СРЕДНЕЕ,43407.0,0.0
27226,0,Мужской,40665.3,138,66.42,104.0,1,Положительная,8.0,82727.0,1.0,1.0,ВЫСШЕЕ,,0.2714026296575954
27231,0,Мужской,9237.3,87,67.5,75.0,0,Приемлемая 1,1.0,1822747.38,0.0,0.0,,43407.0,0.4556463945149702
27233,0,Женский,11853.9,28,61.83,9.0,0,Положительная,14.0,541728.18,0.0,0.0,,43407.0,0.5337633806105176
27234,0,Женский,120078.0,59,42.42,31.0,0,Положительная,7.0,0.0,0.0,0.0,,108517.5,0.0
27238,0,Мужской,,1,68.92,,0,Приемлемая 1,,,,,,43407.0,0.0
27242,0,Мужской,9500.0,66,65.5,22.0,0,Положительная,2.0,93213.79,0.0,0.0,,,0.1123608794899998
27245,0,Мужской,40074.8,0,68.0,,0,Приемлемая 1,,,,,ВЫСШЕЕ,,0.0
27256,0,Мужской,44687.4,14,67.67,10.0,11,Отрицательная,5.0,352970.0,1157.0,30.0,,43407.0,0.1951460568304705
27279,0,Мужской,48832.0,79,64.33,23.0,18,Положительная,0.0,836666.02,18.0,3.0,СРЕДНЕЕ СПЕЦИАЛЬНОЕ,,0.2287365113800003
27284,0,Женский,62344.4,74,68.83,179.0,21,Приемлемая 1,0.0,,21.0,5.0,ВЫСШЕЕ,,0.0
27323,0,Мужской,,49,63.42,,0,Положительная,2.0,42069.47,0.0,0.0,ВЫСШЕЕ,43407.0,0.103534307405149
27344,0,Мужской,85000.0,65,65.17,67.0,0,Положительная,1.0,432427.52,4.0,3.0,,43407.0,0.0949714799729301
27348,0,Мужской,9583.4,143,63.25,3.0,21,Положительная,16.0,278960.83,21.0,5.0,СРЕДНЕЕ СПЕЦИАЛЬНОЕ,43407.0,0.3423222658858761
27385,0,Мужской,3570.5,40,66.5,13.0,0,Положительная,2.0,1629695.23,0.0,0.0,ВЫСШЕЕ,,0.4710658830005991
27388,0,Женский,39877.4,109,67.75,70.0,4,Положительная,2.0,378661.3,21.0,4.0,,43407.0,0.3750668586710553
27396,0,Женский,29159.0,38,66.42,4.0,0,Приемлемая 1,,,,,,,0.0
27398,0,Мужской,85373.2,106,66.33,36.0,0,Положительная,29.0,2019672.74,0.0,0.0,ВЫСШЕЕ,,0.4778847286315406
27402,0,Мужской,9667.0,25,68.0,39.0,18,Приемлемая 1,0.0,,18.0,2.0,ВЫСШЕЕ,,0.0
27415,0,Женский,37982.2,20,62.75,,19,Положительная,,,,,,43407.0,0.3501950949658861
27427,0,Мужской,83334.0,156,67.33,54.0,0,Положительная,7.0,324118.26,0.0,0.0,СРЕДНЕЕ СПЕЦИАЛЬНОЕ,43407.0,0.1286951492807055
27444,0,Мужской,,0,63.67,,0,Приемлемая 1,,,,,,,0.0
27451,0,Женский,61657.4,25,65.58,83.0,0,Приемлемая 1,3.0,132626.47,0.0,0.0,СРЕДНЕЕ,43407.0,0.1131507882163767
27454,1,Мужской,,0,69.33,,0,Приемлемая 1,,,,,ВЫСШЕЕ,,0.0
